Song Name,Streams,Artist,Artist Followers,Release Date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence
My Time,5212053,BTS,37151476.0,2020-02-21,74.0,0.674,0.64,-5.139,0.0339,0.151,0.0925,99.908,234458.0,0.664
100k Cash,5192813,"Capital Bra, Samra",4093115.0,2020-02-27,52.0,0.701,0.714,-5.906,0.524,0.289,0.0883,86.91,173353.0,0.604
Drown (feat. Clinton Kane),5186141,Martin Garrix,14921269.0,2020-02-27,74.0,0.573,0.739,-5.455,0.0581,0.212,0.175,120.077,174062.0,0.363
me & ur ghost,5184069,blackbear,4272745.0,2020-08-21,71.0,0.742,0.679,-4.594,0.0259,0.0488,0.0754,100.041,201398.0,0.856
QUE PRETENDES,5141047,"J Balvin, Bad Bunny",29067437.0,2019-06-28,77.0,0.639,0.791,-4.443,0.253,0.0275,0.362,92.603,222347.0,0.939
You Need To Calm Down,5115153,Taylor Swift,42227614.0,2019-08-23,78.0,0.771,0.671,-5.617,0.0553,0.00929,0.0637,85.026,171360.0,0.714
Quizas,5112244,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion",206225.0,2019-10-11,73.0,0.727,0.815,-2.454,0.153,0.0258,0.231,176.075,216067.0,0.677
Soltera - Remix,5078459,"Lunay, Daddy Yankee, Bad Bunny",4963516.0,2019-05-10,75.0,0.795,0.783,-4.271,0.0432,0.361,0.437,92.01,266087.0,0.799
Trampoline (with ZAYN),5075520,SHAED,139434.0,2019-09-26,73.0,0.619,0.459,-5.782,0.0334,0.56,0.137,126.803,184280.0,0.498
Truth Hurts,5024683,Lizzo,3991674.0,2019-04-19,77.0,0.715,0.624,-3.046,0.114,0.11,0.123,158.087,173325.0,0.412
bury a friend,5020303,Billie Eilish,1251372.0,2021-08-13,1.0,0.887,0.388,-14.505,0.349,0.739,0.106,120.035,193143.0,0.205
Louder than bombs,10016907,BTS,37151476.0,2020-02-21,72.0,0.643,0.667,-6.993,0.152,0.0433,0.0904,145.999,217404.0,0.485
UGH!,9991177,BTS,37151476.0,2020-02-21,72.0,0.72,0.824,-5.086,0.128,0.0394,0.0509,165.998,225012.0,0.333
00:00 (Zero O’Clock),9372219,BTS,37151476.0,2020-02-21,72.0,0.566,0.548,-6.456,0.0579,0.0802,0.11,157.999,250296.0,0.196
Friends,8822365,BTS,37151476.0,2020-02-21,72.0,0.55,0.747,-5.211,0.0407,0.0668,0.0536,79.98,199339.0,0.648
We are Bulletproof : the Eternal,8516710,BTS,37151476.0,2020-02-21,72.0,0.526,0.575,-5.215,0.0309,0.225,0.108,84.047,261543.0,0.19
Inner Child,8312399,BTS,37151476.0,2020-02-21,71.0,0.589,0.696,-7.981,0.0725,0.017,0.0808,134.953,233266.0,0.332
Moon,7850129,BTS,37151476.0,2020-02-21,72.0,0.703,0.646,-6.658,0.0596,0.0104,0.191,141.87,208590.0,0.64
Outro : Ego,6857808,BTS,37151476.0,2020-02-21,69.0,0.808,0.903,-3.106,0.0958,0.0121,0.0993,116.988,196199.0,0.473
Interlude : Shadow,6655856,BTS,37151476.0,2020-02-21,68.0,0.385,0.798,-6.439,0.483,0.115,0.181,149.756,259821.0,0.141
Respect,6373954,BTS,37151476.0,2020-02-21,67.0,0.661,0.84,-4.805,0.116,0.00485,0.287,91.457,237540.0,0.524
Tudo Ok,5510844,"Thiaguinho MT, Mila, JS o Mão de Ouro",28017.0,2019-11-15,57.0,0.814,0.755,-6.164,0.0942,0.239,0.306,79.976,178500.0,0.963
Perreo en La Luna,5135469,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid",206225.0,2019-10-11,66.0,0.711,0.757,-4.188,0.29,0.268,0.367,174.013,218587.0,0.724
"Lose Yourself - From ""8 Mile"" Soundtrack",5118004,Eminem,46814751.0,2005-12-06,75.0,0.692,0.744,-4.565,0.257,0.00868,0.359,171.374,326467.0,0.0612
all the good girls go to hell,5074485,Billie Eilish,47061119.0,2019-03-29,75.0,0.726,0.444,-8.922,0.372,0.283,0.177,185.044,168840.0,0.569
SENTADÃO,5013019,"PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro",1050520.0,2019-11-22,64.0,0.68,0.869,-1.94,0.0589,0.178,0.223,173.997,143448.0,0.924
Lottery (Renegade),4994448,K CAMP,1347589.0,2019-06-21,61.0,0.915,0.556,-8.601,0.216,0.0145,0.0733,148.964,170947.0,0.67
Si Te Vas,4954292,"Sech, Ozuna",8766508.0,2019-09-26,67.0,0.73,0.644,-4.124,0.132,0.0933,0.143,174.101,204907.0,0.554
Que Calor (with J Balvin & El Alfa),4950254,"Major Lazer, Diplo",6223652.0,2019-12-13,29.0,0.873,0.656,-6.043,0.068,0.00477,0.0726,125.982,206811.0,0.546
Rich Rich,4938864,Ufo361,1700759.0,2020-04-24,50.0,0.548,0.648,-4.796,0.292,0.0842,0.123,141.937,204319.0,0.232
