Attributes,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Symbols,ADRO.JK,BBCA.JK,BBRI.JK,ADRO.JK,BBCA.JK,BBRI.JK,ADRO.JK,BBCA.JK,BBRI.JK,ADRO.JK,BBCA.JK,BBRI.JK,ADRO.JK,BBCA.JK,BBRI.JK,ADRO.JK,BBCA.JK,BBRI.JK
Date,,,,,,,,,,,,,,,,,,
2018-07-19,1514.9658203125,4400.64892578125,2646.35205078125,1870.0,4640.0,2890.0,1915.0,4640.0,2960.0,1860.0,4610.0,2870.0,1890.0,4620.0,2900.0,64638600.0,76925500.0,142315400.0
2018-07-20,1478.5093994140625,4381.68017578125,2728.76416015625,1825.0,4620.0,2980.0,1875.0,4630.0,2980.0,1825.0,4585.0,2870.0,1850.0,4630.0,2890.0,31792100.0,57104000.0,72551000.0
2018-07-23,1458.255859375,4429.10107421875,2783.705810546875,1800.0,4670.0,3040.0,1840.0,4700.0,3050.0,1800.0,4620.0,2990.0,1805.0,4640.0,3000.0,26271300.0,70157500.0,88975300.0
2018-07-24,1458.255859375,4462.29638671875,2756.23486328125,1800.0,4705.0,3010.0,1840.0,4705.0,3070.0,1795.0,4660.0,3010.0,1815.0,4700.0,3060.0,46045000.0,88291000.0,72961600.0
2018-07-25,1523.0672607421875,4471.78076171875,2737.921142578125,1880.0,4715.0,2990.0,1885.0,4715.0,3020.0,1810.0,4685.0,2950.0,1820.0,4705.0,2980.0,61510700.0,50131500.0,71955500.0
2018-07-26,1498.76318359375,4424.359375,2783.705810546875,1850.0,4665.0,3040.0,1910.0,4725.0,3070.0,1845.0,4645.0,3030.0,1895.0,4645.0,3050.0,74202800.0,54317500.0,84696100.0
2018-07-27,1591.929443359375,4405.39111328125,2829.490234375,1965.0,4645.0,3090.0,1975.0,4670.0,3090.0,1840.0,4625.0,3020.0,1850.0,4660.0,3060.0,107580500.0,46642500.0,54705200.0
2018-07-30,1693.1971435546875,4414.875,2820.33349609375,2090.0,4655.0,3080.0,2130.0,4680.0,3110.0,2030.0,4600.0,3070.0,2030.0,4680.0,3100.0,198864700.0,40096500.0,66856300.0
2018-07-31,1543.32080078125,4414.875,2811.176513671875,1905.0,4655.0,3070.0,2070.0,4660.0,3080.0,1880.0,4530.0,3000.0,2070.0,4640.0,3080.0,164547300.0,66803000.0,107458400.0
2018-08-01,1604.08154296875,4452.8125,2921.059814453125,1980.0,4695.0,3190.0,1990.0,4695.0,3200.0,1900.0,4650.0,3050.0,1915.0,4680.0,3070.0,74080800.0,56594000.0,147098300.0
2018-08-02,1567.6251220703125,4448.0693359375,2976.001220703125,1935.0,4690.0,3250.0,1995.0,4780.0,3260.0,1925.0,4690.0,3190.0,1990.0,4720.0,3200.0,52010800.0,79333000.0,158406800.0
2018-08-03,1571.67578125,4448.0693359375,3049.2568359375,1940.0,4690.0,3330.0,1960.0,4730.0,3350.0,1930.0,4670.0,3230.0,1935.0,4690.0,3270.0,63189100.0,41404000.0,100589700.0
2018-08-06,1587.8787841796875,4514.458984375,3122.51220703125,1960.0,4760.0,3410.0,1970.0,4760.0,3420.0,1950.0,4680.0,3340.0,1950.0,4680.0,3350.0,35260200.0,63000500.0,143310900.0
2018-08-07,1604.08154296875,4514.458984375,3067.5703125,1980.0,4760.0,3350.0,2030.0,4775.0,3400.0,1965.0,4740.0,3330.0,1980.0,4740.0,3350.0,61466100.0,114379000.0,89404000.0
2018-08-08,1612.1829833984375,4538.16943359375,3049.2568359375,1990.0,4785.0,3330.0,2030.0,4790.0,3400.0,1980.0,4710.0,3310.0,2000.0,4780.0,3400.0,45706300.0,64702500.0,90710200.0
2018-08-09,1567.6251220703125,4571.36376953125,3049.2568359375,1935.0,4820.0,3330.0,1995.0,4820.0,3350.0,1925.0,4780.0,3300.0,1990.0,4800.0,3330.0,65590800.0,65947500.0,69654300.0
2018-08-10,1547.3714599609375,4528.68505859375,3104.1982421875,1910.0,4775.0,3390.0,1965.0,4815.0,3470.0,1900.0,4740.0,3350.0,1940.0,4800.0,3350.0,76226500.0,80348000.0,115961500.0
2018-08-13,1482.5601806640625,4424.359375,2875.27490234375,1830.0,4665.0,3140.0,1900.0,4710.0,3320.0,1810.0,4610.0,3130.0,1900.0,4705.0,3300.0,69285200.0,80184000.0,179328600.0
2018-08-14,1458.255859375,4457.5537109375,2866.117919921875,1800.0,4700.0,3130.0,1890.0,4780.0,3150.0,1800.0,4605.0,3040.0,1825.0,4690.0,3090.0,61428900.0,85527500.0,154831700.0
2018-08-15,1502.8138427734375,4448.0693359375,2939.37353515625,1855.0,4690.0,3210.0,1860.0,4720.0,3220.0,1780.0,4660.0,3020.0,1820.0,4720.0,3150.0,34569700.0,57330500.0,138367300.0
2018-08-16,1442.052978515625,4433.84326171875,2792.86279296875,1780.0,4675.0,3050.0,1840.0,4695.0,3180.0,1780.0,4640.0,3050.0,1830.0,4690.0,3180.0,65985400.0,52903500.0,163665300.0
2018-08-17,1442.052978515625,4433.84326171875,2792.86279296875,1780.0,4675.0,3050.0,1780.0,4675.0,3050.0,1780.0,4675.0,3050.0,1780.0,4675.0,3050.0,0.0,0.0,0.0
2018-08-20,1486.61083984375,4533.42724609375,2911.90283203125,1835.0,4780.0,3180.0,1850.0,4780.0,3190.0,1800.0,4685.0,3080.0,1800.0,4700.0,3080.0,51605600.0,96832000.0,101377000.0
2018-08-21,1523.0672607421875,4528.68505859375,2884.431884765625,1880.0,4775.0,3150.0,1880.0,4795.0,3180.0,1845.0,4770.0,3120.0,1845.0,4770.0,3130.0,54946000.0,67938000.0,59513000.0
2018-08-22,1523.0672607421875,4528.68505859375,2884.431884765625,1880.0,4775.0,3150.0,1880.0,4775.0,3150.0,1880.0,4775.0,3150.0,1880.0,4775.0,3150.0,0.0,0.0,0.0
2018-08-23,1571.67578125,4661.4638671875,2994.31494140625,1940.0,4915.0,3270.0,1950.0,4930.0,3270.0,1865.0,4755.0,3130.0,1900.0,4760.0,3180.0,80572800.0,145868000.0,155835200.0
